"","HHID","PN","gender","race","edu","baselineage","couple1","couple2","couple3","lbcomp1","lbcomp2","lbcomp3","livarr1","livarr2","livarr3","mstat1","mstat2","mstat3","mobility1","mobility2","mobility3","wealth1","wealth2","wealth3","hhsize1","hhsize2","hhsize3","numchild1","numchild2","numchild3","haschild1","haschild2","haschild3","hasfriend1","hasfriend2","hasfriend3","livewithsp1","livewithsp2","livewithsp3","spsupport1","spsupport2","spsupport3","chsupport1","chsupport2","chsupport3","frsupport1","frsupport2","frsupport3","numclosechild1","numclosechild2","numclosechild3","closechild1","closechild2","closechild3","loneliness11.1","loneliness11.2","loneliness11.3","ccratio1","ccratio2","ccratio3","white","married1","married2","married3","deceased","all_frsupport_missing","all_loneliness_missing","exclude_from_analysis"
"7134","527306","010",1,1,14,55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,1,NA,1,1,1,1,1,1,NA,3,3,2.33333333333333,2.66666666666667,1.33333333333333,1.66666666666667,3,4,3.66666666666667,0,0,0,0,0,0,2.27272727272727,2.81818181818182,2.27272727272727,0,0,0,1,1,1,1,0,FALSE,FALSE,FALSE
"7135","527306","020",0,1,12,55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3.66666666666667,4,4,3,3.33333333333333,3.66666666666667,3,3.33333333333333,3.33333333333333,1,2,1,1,2,1,1.45454545454545,1.36363636363636,1.45454545454545,0.5,1,0.5,1,1,1,1,0,FALSE,FALSE,FALSE
"7136","527317","010",0,7,16,55,1,1,1,1,5,1,1,1,1,1,1,1,0,0,0,1,1,4,3,2,2,5,5,5,1,NA,1,1,NA,1,1,NA,1,4,NA,4,4,NA,3,3,NA,2.33333333333333,5,NA,1,3,NA,1,1.09090909090909,NA,1.27272727272727,1,NA,0.2,0,1,1,1,0,FALSE,FALSE,FALSE
"7137","527348","010",0,1,12,52,0,0,0,4,5,1,5,5,5,2,2,2,0,2,4,1,1,1,1,1,1,5,5,5,1,NA,1,1,NA,1,0,NA,0,NA,NA,NA,2,NA,2,3,NA,3.33333333333333,NA,NA,2,NA,NA,2,1.72727272727273,NA,2.09090909090909,NA,NA,0.285714285714286,1,0,0,0,0,FALSE,FALSE,FALSE
"7138","527368","010",0,2,16,53,1,1,1,5,1,1,1,1,1,1,1,1,0,0,0,2,2,2,3,3,2,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,3,2.33333333333333,NA,3.66666666666667,3.33333333333333,NA,3,2.66666666666667,NA,1,1,NA,1,1,NA,1.81818181818182,2.27272727272727,NA,1,1,0,1,1,1,0,FALSE,FALSE,FALSE
"7139","527368","020",1,2,14,51,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2.33333333333333,3.33333333333333,3,3.33333333333333,3.66666666666667,3.66666666666667,4,3.33333333333333,3,1,1,1,1,1,1,1.54545454545455,1.90909090909091,1.54545454545455,1,1,1,0,1,1,1,0,FALSE,FALSE,FALSE
"7140","527380","010",1,1,13,53,1,1,1,1,1,5,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,1,1,NA,1,1,NA,1,1,NA,2,1,NA,2.33333333333333,1,NA,3.33333333333333,2.66666666666667,NA,5,4,NA,3,3,NA,2.27272727272727,2.45454545454545,NA,1.66666666666667,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7141","527380","020",0,1,13,54,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,3,3,3,3,3,3,3,4,4,1,1,NA,1,1,NA,1,NA,NA,2.66666666666667,2.33333333333333,NA,2.33333333333333,3,NA,1.66666666666667,2.66666666666667,NA,2,2,NA,2,2,NA,1.90909090909091,1.45454545454545,NA,0.666666666666667,0.5,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7142","527401","020",0,1,12,51,1,0,0,1,5,1,1,5,5,1,3,3,0,0,0,4,5,5,2,1,1,0,0,0,0,NA,0,1,NA,1,1,NA,1,3.66666666666667,NA,3.33333333333333,NA,NA,NA,2.66666666666667,NA,3,NA,NA,NA,NA,NA,NA,1.18181818181818,NA,1.27272727272727,NA,NA,NA,1,1,0,0,0,FALSE,FALSE,FALSE
"7143","527403","010",0,7,8,53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3.33333333333333,4,3.66666666666667,3.66666666666667,4,4,3,3,3,3,3,3,3,3,3,1.6,1,1.45454545454545,1,1,1,0,1,1,1,0,FALSE,FALSE,FALSE
"7144","527403","020",1,1,8,54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,NA,3.66666666666667,3,3.66666666666667,4,4,2.33333333333333,3,3.33333333333333,3,3,3,3,3,3,1.18181818181818,1.09090909090909,1.45454545454545,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7145","527411","010",0,1,6,57,1,1,1,5,5,1,1,1,1,1,1,1,0,0,0,3,2,2,3,2,2,5,5,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3.66666666666667,NA,NA,4,NA,NA,2.66666666666667,NA,NA,4,NA,NA,3,NA,NA,1.63636363636364,NA,NA,0.8,1,1,1,1,0,FALSE,FALSE,FALSE
"7146","527426","010",0,1,13,57,1,1,1,5,1,1,1,1,1,1,1,1,0,0,0,5,5,5,3,2,3,4,4,4,NA,1,1,NA,1,1,NA,1,1,NA,4,4,NA,3.66666666666667,3.66666666666667,NA,4,3,NA,4,4,NA,3,3,NA,1.09090909090909,1.27272727272727,NA,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7147","527426","020",1,1,13,57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5,5,5,3,2,3,4,4,4,1,NA,1,1,1,1,1,NA,NA,4,4,4,4,4,4,3,3.66666666666667,4,4,4,4,3,3,3,1.18181818181818,1,1.09090909090909,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7148","527456","010",0,7,NA,57,0,0,0,1,1,1,5,5,5,4,4,4,3,3,4,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1.90909090909091,2.09090909090909,2.54545454545455,NA,NA,NA,0,0,0,0,0,FALSE,FALSE,FALSE
"7149","527460","010",0,1,13,58,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,NA,4,4,4,2.66666666666667,3,3.33333333333333,2.33333333333333,2.33333333333333,2,2,2,2,2,2,2,1.63636363636364,1.90909090909091,1.81818181818182,1,1,1,1,1,1,0,0,FALSE,FALSE,FALSE
"7150","527482","010",1,1,17,54,1,0,1,1,5,1,1,4,1,1,2,2,0,1,1,3,5,4,3,2,3,3,3,4,1,NA,1,1,NA,1,1,NA,1,3.33333333333333,NA,3.66666666666667,3,NA,3.33333333333333,3.66666666666667,NA,2.33333333333333,2,NA,1,2,NA,1,1.90909090909091,NA,1.36363636363636,0.666666666666667,NA,0.25,1,1,0,0,0,FALSE,FALSE,FALSE
"7151","527486","010",0,1,12,55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,2,3,3,3,5,5,5,1,1,1,1,1,1,1,1,NA,4,4,3.66666666666667,3.33333333333333,3.66666666666667,3.33333333333333,3,3,2.33333333333333,3,3,2,3,3,2,1.09090909090909,1.09090909090909,1.27272727272727,0.6,0.6,0.4,1,1,1,1,0,FALSE,FALSE,FALSE
"7152","527491","010",0,1,16,56,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,2.66666666666667,NA,NA,4,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2.18181818181818,NA,NA,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7153","527522","010",1,1,12,57,0,0,0,5,1,1,4,5,5,2,2,2,1,1,2,3,3,3,3,1,1,3,3,3,NA,1,1,NA,1,1,NA,0,0,NA,NA,NA,NA,3.33333333333333,1.33333333333333,NA,3.66666666666667,3.33333333333333,NA,2,1,NA,2,1,NA,1.90909090909091,2.27272727272727,NA,0.666666666666667,0.333333333333333,1,0,0,0,0,FALSE,FALSE,FALSE
"7154","527531","010",1,2,16,53,1,1,1,1,5,5,1,1,1,1,1,2,0,0,0,4,4,4,3,2,2,2,2,2,0,NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.27272727272727,NA,NA,NA,NA,NA,0,1,1,0,0,FALSE,FALSE,FALSE
